,curr_iteration,loss,viol,best_loss,temp,accept,move_gen,move_type,move_target,move_dur,elapsed,retry
84,84,-3.29235744276,0,,0.0574135342371,,propose_addition,Addition,,0.499157982005,21.775761289,5.0
85,85,-3.29235744276,0,,0.0547722557505,False,propose_addition,Addition,,0.158987562987,21.934931528,0.0
86,86,-3.29235744276,0,,0.0522524878474,False,propose_relation_plane_change,RelationPlaneChange,,0.230977428961,22.166057191,4.0
87,87,-3.29235744276,0,,0.0498486404993,,propose_addition,Addition,,0.464242250018,22.630425465,5.0
88,88,-3.29235744276,0,,0.0475553808439,,propose_addition,Addition,,0.46288903302,23.093443241,5.0
89,89,-3.29235744276,0,,0.0453676213546,,propose_rotate,,,0.000168886967003,23.093738492,
90,90,-3.29235744276,0,,0.0432805085533,,propose_rotate,,,0.000166166981217,23.093977032,
91,91,-3.29235744276,0,,0.0412894122439,False,propose_addition,Addition,,0.372986692993,23.467034172,2.0
92,92,-3.29235744276,0,,0.0393899152397,,propose_addition,Addition,,0.472652775003,23.939834798,5.0
93,93,-3.29235744276,0,,0.0375778035644,,propose_addition,Addition,,0.481388646993,24.421351678,5.0
94,94,-3.29235744276,0,,0.0358490571033,False,propose_addition,Addition,,0.531891950988,24.953367316,4.0
95,95,-3.29235744276,0,,0.0341998406851,,propose_addition,Addition,,0.483821369999,25.437335057,5.0
96,96,-3.29235744276,0,,0.0326264955733,,propose_translate,TranslateMove,,0.0153709980077,25.452841288,5.0
97,97,-3.29235744276,0,,0.0311255313495,,propose_addition,Addition,,0.484112445964,25.937066978,5.0
98,98,-3.29235744276,0,,0.0296936181703,False,propose_relation_plane_change,RelationPlaneChange,,0.153551422001,26.090743477,2.0
99,99,-3.33686911118,0,,0.0283275793799,True,propose_translate,TranslateMove,,0.0796421740088,26.170513933,2.0
100,100,-3.33686911118,0,,0.0270243844628,,propose_addition,Addition,,0.484280734032,26.654931244,5.0
101,101,-3.33686911118,0,,0.0257811423206,False,propose_reinit_pose,ReinitPoseMove,,0.153974191984,26.80922654,2.0
